sp_code,DE,LMA,Nmass,Aarea,Rdmass
THYVUL,E,79.433,1.977,6.607,NA
TRIANG,NA,45.709,3.251,NA,NA
URODAL,NA,41.687,2.089,NA,NA
VIBTIN,E,83.176,1.094,NA,NA
VIOSCO,D,47.863,1.959,8.511,NA
VULCIL,NA,26.303,2.089,NA,NA
XERINA,D,28.184,3.148,10.471,NA
CISMON,E,134.896,2.089,23.988,NA
CNETRI,E,100,2.009,10.715,NA
HYPBAL,E,117.49,2.449,10.715,NA
PHILAT,E,120.226,1.778,12.589,NA
PINHAL,E,125.893,1.3,7.586,NA
PISLEN,E,208.93,1.409,12.589,NA
RHALUD,E,165.959,1.82,9.55,NA
URGMAR,NA,109.648,3.112,12.303,NA
ARBUNE,E,165.959,1.191,9.12,NA
CISALB,E,109.648,1.941,16.596,NA
CISSAL,E,134.896,1.849,19.498,NA
QUECOC,E,169.824,1.199,10,NA
QUEILE,E,194.984,1.57,11.482,NA
RHAALA,E,151.356,2.018,10.233,NA
ACEOPA,D,56.234,3.273,7.413,NA
AVECRA,NA,91.201,2.218,13.49,NA
CAPSPI,D,77.625,4.721,27.542,NA
CEPSQU,E,114.815,2.291,19.498,NA
CRETRI,E,53.703,3.311,15.136,NA
DELPIC,NA,56.234,3.908,18.197,NA
DIARUP,NA,114.815,2.028,16.218,NA
EUPMAR,E,79.433,3.673,13.183,NA
GLOCAM,E,158.489,1.629,16.596,NA
LIGHUT,E,39.811,4.15,15.488,NA
LIMMIG,E,107.152,2.472,16.596,NA
PHLITA,E,109.648,2.089,19.953,NA
PISTER,D,134.896,2.818,20.417,NA
PTEAQU,NA,107.152,2.148,12.303,NA
SILMOL,E,69.183,3.656,14.454,NA
URTATR,NA,43.652,4.074,15.488,NA
VIOJAU,E,52.481,3.648,11.22,NA
VIOSTO,E,38.905,4.188,12.589,NA
VIOX B,E,63.096,2.692,11.749,NA
AMABLI,NA,54.954,4.315,33.884,NA
AMARET,NA,58.884,2.553,19.953,NA
ANAFOE,D,95.499,3.724,21.38,NA
ATRHAL,E,87.096,5.2,21.878,NA
BETVUL,NA,51.286,3.811,22.387,NA
CERSIL,E,251.189,1.429,13.183,NA
CHEALB,NA,67.608,4.198,26.303,NA
CICINT,NA,34.674,3.548,18.621,NA
CONARV,NA,41.687,5.47,17.378,NA
DATSTR,NA,47.863,5.715,28.84,NA
DITVIS,NA,53.703,3.396,16.596,NA
FRAANG,D,112.202,2.371,22.909,NA
HELLIV,E,169.824,1.69,12.882,NA
HELFOE,E,169.824,1.66,11.482,NA
LAVDEN,E,79.433,2.46,23.988,NA
LAVCRE,NA,47.863,5.035,28.84,NA
PAECAM,NA,114.815,1.742,12.023,NA
POPALB,D,91.201,2.35,16.596,NA
QUEHUM,D,104.713,2.729,16.596,NA
VERSIN,NA,72.444,2.08,25.119,NA
VITAGN,D,83.176,3.342,22.387,NA
CASSIE,E,120.226,1.005,6.026,NA
QUEACU,E,112.202,0.794,5.623,NA
CAMJAP,E,102.329,1.014,7.413,NA
CLEJAP,E,104.713,1.148,7.413,NA
CINJAP,E,112.202,0.977,4.677,NA
NEOSER,E,95.499,1.05,3.89,NA
ILLANI,E,57.544,1.253,3.802,NA
MAEJAP,E,81.283,1.104,5.012,NA
BOESP,E,54.954,2.5,5.495,NA
SYZSP1,E,66.069,1.479,3.388,NA
MACTRI,E,34.674,3.273,7.943,NA
PARMAL,E,48.978,1.905,4.266,NA
SHOARG,E,46.774,2.109,4.898,NA
DRIPIP,E,66.069,1.514,4.786,NA
SYZCON,E,114.815,1.355,5.888,NA
MACSP,E,66.069,1.483,5.129,NA
TRIVER,E,97.724,1.528,5.37,NA
TRICLE,E,125.893,1.13,6.607,NA
DRIPIP,E,117.49,1.791,3.715,NA
SYZHOU,E,181.97,1.262,3.467,NA
LITHAV,E,208.93,1.216,3.548,NA
PHODAV,E,147.911,2.223,6.457,NA
SCHBRE,E,158.489,1.222,4.074,NA
DRIPIP,E,117.49,2.218,2.754,NA
SYZSP2,E,181.97,1.762,2.818,NA
PHODAV,E,128.825,2.168,3.715,NA
SCOCRA,NA,120.226,1.361,NA,NA
EUGMAB,NA,89.125,1.291,NA,NA
ACRPED,NA,102.329,2.099,NA,NA
ACTAMB,NA,151.356,1.14,NA,NA
ALLVAR,NA,87.096,2.27,NA,NA
MICNIL,NA,83.176,1.828,NA,NA
ACESAC,D,64.565,1.611,NA,NA
CARGLA,D,74.131,1.66,NA,NA
FAGGRA,D,67.608,1.968,NA,NA
LIRTUL,D,75.858,1.722,NA,NA
QUEALB,D,79.433,1.791,NA,NA
QUEPRI,D,87.096,1.5,NA,NA
QUERUB,D,93.325,1.622,NA,NA
QUEVEL,D,104.713,1.38,NA,NA
ACERUB,D,72.444,NA,8.318,NA
ACESAC,D,58.884,NA,5.012,NA
FAGGRA,D,61.66,NA,6.457,NA
POPGRA,D,77.625,NA,15.136,NA
QUERUB,D,109.648,NA,12.589,NA
ANAEXC,E,83.176,1.66,10.471,25.703957827688633
LUESEE,D,138.038,2.028,18.621,21.379620895022324
CASELA,D,77.625,2.128,7.762,26.915348039269155
ANTTRI,D,93.325,2.07,19.498,18.197008586099834
URECAR,D,67.608,3.828,15.488,28.84031503126606
CECLON,D,114.815,2.612,19.953,21.87761623949553
ACEPAL,D,44.668,NA,4.169,NA
ACEMON,D,56.234,1.6,4.571,NA
CARCOR,D,63.096,NA,5.37,NA
CORCON,D,63.096,NA,5.888,NA
OSTJAP,D,64.565,NA,6.607,NA
POPSIE,D,67.608,NA,10.233,NA
PRUSSI,D,72.444,NA,5.495,NA
MAAAMU,D,75.858,NA,6.761,NA
JUGAIL,D,79.433,3.097,7.244,NA
CERJAP,D,72.444,NA,7.244,NA
SORCOM,D,74.131,NA,7.413,NA
FRAMAD,D,72.444,2.399,7.586,NA
KALPIC,D,75.858,NA,7.762,NA
TILJAP,D,74.131,2.399,7.943,NA
BETMAX,D,72.444,NA,8.511,NA
BETPLA,D,72.444,3.396,9.55,NA
ALNHIR,D,77.625,3.199,11.22,NA
TILMAX,D,81.283,NA,7.079,NA
ULMDAV,D,83.176,3.199,7.244,NA
PRUSAR,D,85.114,NA,7.943,NA
SORALN,D,85.114,NA,8.128,NA
MAGOBO,D,81.283,NA,8.71,NA
ALNJAP,D,81.283,NA,10.233,NA
BETERM,D,81.283,NA,11.482,NA
FAGCRE,D,95.499,NA,5.495,NA
QUEMON,D,91.201,NA,6.761,NA
ULMLAC,D,95.499,NA,7.943,NA
BETDAV,D,95.499,NA,9.12,NA
SALHUL,D,102.329,NA,7.244,NA
POPMAX,D,102.329,NA,12.882,NA
NOTMEN,NA,151.356,1.34,NA,NA
GRILIT,NA,107.152,1.047,NA,NA
GAUANT,NA,112.202,0.914,NA,NA
RANHIR,NA,60.256,1.4,NA,NA
ACHMIL,NA,48.978,2.286,NA,NA
ALNINC,D,72.444,3.214,NA,NA
ANDPOL,E,128.825,1.552,NA,NA
ANGSYL,NA,30.2,2.972,NA,NA
ANTSYL,NA,23.442,2.371,NA,NA
ARCALP,D,85.114,1.439,NA,NA
ASTALP,D,40.738,3.926,NA,NA
ASTFRI,D,46.774,5.058,NA,NA
BARALP,D,72.444,2.63,NA,NA
BETNAN,D,81.283,2.239,NA,NA
BETPUB,D,69.183,2.761,8.318,NA
CALLAP,NA,38.905,1.758,NA,NA
CALPAL,NA,23.988,3.573,NA,NA
CARCAP,NA,75.858,1.706,NA,NA
CARROS,NA,69.183,2.415,NA,NA
CARVAG,NA,61.66,1.932,NA,NA
CASTET,E,NA,0.849,NA,NA
CHAANG,NA,66.069,2.951,NA,NA
CORSUE,NA,32.359,2.065,NA,NA
DESCES,NA,54.954,1.862,NA,NA
DIPCOM,E,NA,0.804,NA,NA
DROROT,NA,25.119,1.199,1.148,NA
DRYOCT,E,93.325,2.023,NA,NA
ELYREP,NA,41.687,2.443,NA,NA
EMPHER,E,177.828,0.78,NA,NA
EMPNIG,E,87.096,1.197,3.467,NA
EQUSYL,NA,40.738,2.307,NA,NA
ERIANG,NA,75.858,2.564,NA,NA
EUPFRI,NA,30.903,5.37,NA,NA
FILULM,NA,35.481,2.78,NA,NA
GERSYL,NA,45.709,2.723,NA,NA
GYMDRY,NA,28.184,1.648,NA,NA
JUNARC,NA,229.087,2.234,NA,NA
JUNCOM,E,165.959,1.146,NA,NA
LATPRA,NA,33.884,4.864,NA,NA
LOIPRO,E,251.189,0.71,NA,NA
LYCANN,E,NA,0.859,NA,NA
MATSTR,NA,37.154,3.289,NA,NA
MELSYL,NA,31.623,1.862,NA,NA
ORTSEC,NA,56.234,1.875,NA,NA
PEDLAP,D,61.66,3.076,NA,NA
PEDSCE,NA,64.565,1.858,NA,NA
PHYCAE,E,120.226,0.83,NA,NA
PICABI,E,301.995,1.324,NA,NA
PINVUL,NA,16.596,1.585,1,NA
PINSYL,E,301.995,0.944,NA,NA
POLVIV,NA,69.183,3.162,NA,NA
POPTRE,D,77.625,2.506,NA,NA
RHIMIN,NA,66.069,3.548,NA,NA
RHOROS,NA,33.884,3.119,NA,NA
RHOLAP,E,134.896,1.667,NA,NA
RIBSPI,D,33.113,2.944,NA,NA
RUBCHA,NA,81.283,1.884,NA,NA
RUBSAX,NA,30.2,2.286,NA,NA
RUMOBT,NA,39.811,3.334,NA,NA
SALLAP,D,85.114,2.449,NA,NA
SALMYR,D,117.49,1.722,NA,NA
SALRET,D,125.893,1.69,NA,NA
SOLVIR,NA,36.308,2.864,NA,NA
SORAUC,D,63.096,1.936,NA,NA
TANVUL,NA,48.978,2.649,NA,NA
TRIPRA,NA,25.704,4.721,NA,NA
VACMYR,D,53.703,1.897,5.012,NA
VACULI,D,77.625,1.986,6.607,NA
VACVIT,E,158.489,0.964,5.37,NA
VICCRA,NA,27.542,5.433,NA,NA
ARCALP,D,95.499,1.862,NA,NA
ASTALP,D,45.709,5.623,NA,NA
ASTFRI,D,46.774,5.572,NA,NA
BARALP,D,79.433,2.46,NA,NA
BETNAN,D,81.283,3.155,NA,NA
CARSAX,NA,61.66,2.897,NA,NA
CASTET,E,134.896,1.361,NA,NA
DIALAP,E,158.489,1.355,NA,NA
DRYOCT,E,114.815,2.042,NA,NA
EMPHER,E,154.882,0.966,NA,NA
JUNTRI,NA,57.544,3.228,NA,NA
LOIPRO,E,229.087,1.054,NA,NA
LUZMUL,NA,33.884,2.296,NA,NA
OXYDIG,D,61.66,3.508,NA,NA
PEDHIR,NA,48.978,2.767,NA,NA
PEDLAP,D,91.201,2.301,NA,NA
PHLALP,NA,41.687,3.155,NA,NA
PHYCAE,E,128.825,1.104,NA,NA
POLVIV,NA,87.096,3.715,NA,NA
POTCRA,D,81.283,2.679,NA,NA
RANNIV,D,50.119,3.048,NA,NA
RHOLAP,E,158.489,1.871,NA,NA
RUBCHA,NA,79.433,2.6,NA,NA
SALHER,D,81.283,2.673,NA,NA
SALMYR,D,95.499,2.477,NA,NA
SALPOL,D,83.176,2.483,NA,NA
SALRET,D,109.648,2.27,NA,NA
SIBPRO,D,63.096,2.891,NA,NA
TROEUR,NA,36.308,2.5,NA,NA
VACMYR,D,72.444,1.629,NA,NA
VACULI,D,79.433,2.5,NA,NA
VACVIT,E,245.471,0.971,NA,NA
VERALP,NA,36.308,3.097,NA,NA
CASTET,E,NA,1.191,NA,NA
DRYOCT,E,117.49,2.35,NA,NA
OXYDIG,D,70.795,4.246,NA,NA
POLVIV,NA,79.433,4.009,NA,NA
SALPOL,D,74.131,3.864,NA,NA
RUBCOR,D,70.795,1.841,12.882,NA
PRUSPI,D,89.125,2.118,10.471,NA
CRAX M,D,109.648,2.042,10,NA
ACECAM,D,95.499,1.941,9.55,NA
RIBUVA,D,64.565,2.061,10,NA
AEGMAR,D,114.815,1.932,NA,NA
AMOROH,E,40.738,1.811,NA,NA
ANNSQU,E,54.954,3.17,NA,NA
ANTCAD,E,114.815,1.75,NA,NA
ARTHET,E,104.713,2.618,NA,NA
ARTLAK,D,91.201,1.991,NA,NA
AZAIND,D,79.433,3.048,NA,NA
BAMBAM,D,61.66,2.301,NA,NA
BAUVAR,D,75.858,3.013,NA,NA
BOMCEI,D,114.815,1.6,NA,NA
BOUSPE,E,67.608,2.729,NA,NA
CARCAR,E,89.125,1.169,NA,NA
CASFIS,D,66.069,2.198,NA,NA
CORDIC,D,114.815,2.118,NA,NA
CRECUJ,E,67.608,2,NA,NA
DALSIS,D,120.226,2.089,NA,NA
DILIND,E,91.201,1.361,NA,NA
DIOEMB,E,102.329,1.629,NA,NA
EUCGLO,E,144.544,1.271,NA,NA
FICBEN,E,125.893,1.291,NA,NA
FICCAR,D,85.114,3.162,NA,NA
FICREL,D,109.648,1.479,NA,NA
FICRUM,D,79.433,1.549,NA,NA
GARJAS,E,81.283,1.521,NA,NA
GREASI,D,102.329,1.73,NA,NA
HAMPAT,E,66.069,3.342,NA,NA
HIBROS,E,46.774,2.239,NA,NA
HOLINT,D,63.096,2.748,NA,NA
IXOALB,E,83.176,2.198,NA,NA
IXOCOC,E,102.329,1.39,NA,NA
KIGPIN,D,109.648,1.69,NA,NA
LAGSPE,D,87.096,2.028,NA,NA
LITCHI,E,128.825,1.419,NA,NA
MADIND,D,112.202,1.77,NA,NA
MAGGRA,E,154.882,1.34,NA,NA
MALPHI,E,57.544,2.489,NA,NA
MANIND,E,134.896,1.679,NA,NA
MIMELE,E,125.893,1.671,NA,NA
MIMHEX,E,123.027,1.622,NA,NA
MITPAR,D,91.201,1.959,NA,NA
MORALB,D,67.608,2.028,NA,NA
NYCARB,D,97.724,1.698,NA,NA
POLLON,E,64.565,2.118,NA,NA
POLPEN,E,72.444,2.529,NA,NA
PONPIN,D,60.256,2.793,NA,NA
POPDEL,D,102.329,2.41,NA,NA
PSIGUA,E,91.201,1.73,NA,NA
PTEACE,E,95.499,1.429,NA,NA
QUIIND,E,40.738,2.911,NA,NA
SAPMYK,D,52.481,3.013,NA,NA
SARIND,E,89.125,2.042,NA,NA
SCHOLE,D,81.283,1.791,NA,NA
SEMANA,D,67.608,1.828,NA,NA
SPACOM,E,104.713,1.932,NA,NA
SPOMAN,D,77.625,1.762,NA,NA
STEALA,D,87.096,2.28,NA,NA
STECOL,D,89.125,1.648,NA,NA
STRNUX,D,79.433,2.618,NA,NA
SWIMAH,D,85.114,1.521,NA,NA
SYZJAM,E,114.815,1.349,NA,NA
TABCOR,E,54.954,4.111,NA,NA
TECGRA,D,134.896,1.5,NA,NA
TERARJ,D,131.826,1.459,NA,NA
TERBEL,D,158.489,0.859,NA,NA
TERCHE,D,74.131,1.941,NA,NA
THEPAR,E,72.444,1.919,NA,NA
WOOFRU,E,109.648,1.33,NA,NA
ZIZJUJ,D,131.826,1.762,NA,NA
ADICOR,D,123.027,2.089,NA,NA
ANOLAT,D,144.544,1.439,NA,NA
BAURAC,D,81.283,2.472,NA,NA
BOSSER,D,125.893,1.321,NA,NA
BRIRET,D,87.096,1.95,NA,NA
BUCLAN,D,114.815,1.991,NA,NA
BUTMON,D,141.254,2.541,NA,NA
DIOMEL,D,120.226,1.469,NA,NA
FICRAC,E,91.201,2.099,NA,NA
GARLAT,D,87.096,1.698,NA,NA
HARBIN,D,120.226,2.018,NA,NA
LAGPAR,D,128.825,1.349,NA,NA
LANCOR,D,81.283,1.622,NA,NA
MILTOM,D,85.114,2.27,NA,NA
PTEMAR,D,114.815,2.477,NA,NA
SHOROB,E,97.724,1.968,NA,NA
SOYFEB,D,134.896,1.409,NA,NA
SYZCUM,E,134.896,2.009,NA,NA
TERALA,D,107.152,1.469,NA,NA
WRITOM,D,66.069,2.312,NA,NA
XERULI,D,83.176,1.56,NA,NA
ZIZGLA,D,100,2.188,NA,NA
ACHMIL,NA,85.114,1.837,13.804,15.13561248436208
AGRREP,NA,54.954,1.782,8.71,15.848931924611133
AMOCAN,NA,64.565,2.377,14.791,17.378008287493753
ANDGER,NA,48.978,1.683,14.454,17.378008287493753
ANECYL,NA,61.66,1.871,8.128,13.182567385564074
BROINE,NA,56.234,1.592,8.71,13.489628825916533
KOECRI,NA,93.325,1.517,12.023,12.302687708123818
LESCAP,NA,63.096,2.831,13.183,26.302679918953814
LUPPER,NA,53.703,3.273,15.488,NA
PETVIL,NA,85.114,2.254,22.387,20.892961308540396
SCHSCO,NA,47.863,1.503,14.454,15.13561248436208
SOLRIG,NA,93.325,1.493,14.791,12.02264434617413
SORNUT,NA,54.954,1.968,14.791,16.982436524617444
AEXPUN,E,125.893,0.959,NA,NA
AMOLUM,E,141.254,1.009,NA,NA
ARAARA,E,316.228,0.579,NA,NA
DRIWIN,E,177.828,0.871,NA,NA
EMBCOC,E,102.329,1.742,NA,NA
EUCCOR,E,123.027,0.991,NA,NA
LAUPHI,E,134.896,1.56,NA,NA
MYRPLA,E,109.648,1.14,NA,NA
NOTBET,E,165.959,1.191,NA,NA
NOTNIT,E,151.356,1.159,NA,NA
OVIPIL,E,97.724,2.138,NA,NA
PODNUB,E,204.174,0.92,NA,NA
PODSAL,E,177.828,0.929,NA,NA
SAXCON,E,131.826,1.069,NA,NA
WEITRI,E,147.911,0.899,NA,NA
CRYALB,E,144.544,0.849,10.233,9.33254300796991
DRIWIN,E,138.038,1.079,8.71,10.232929922807541
EUCCOR,E,134.896,0.8,11.22,5.1286138399136485
LUMAPI,E,162.181,1.14,10.233,9.772372209558107
NOTDOM,E,123.027,1.73,11.482,8.912509381337454
PODSAL,E,165.959,0.979,6.166,5.88843655355589
AUSCHI,E,194.984,1.089,7.586,6.165950018614822
LOMHIR,E,123.027,0.839,8.913,8.128305161640993
PERLIN,E,104.713,1.009,8.128,4.36515832240166
PODSAL,E,169.824,1.099,6.166,4.677351412871983
PRUAND,E,147.911,0.929,5.623,4.073802778041127
AEXPUN,E,134.896,0.979,5.623,3.715352290971725
DASDIA,E,131.826,1.211,9.55,7.762471166286917
DRIWIN,E,181.97,0.61,7.943,9.33254300796991
EMBCOC,E,102.329,1.521,14.125,15.848931924611133
EUCCOR,E,131.826,1,10,5.88843655355589
GEVAVE,E,154.882,0.8,8.913,6.456542290346556
LAUPHI,E,162.181,1.449,6.457,6.165950018614822
LUMAPI,E,138.038,1.099,8.128,9.33254300796991
MYRPLA,E,131.826,1,6.166,5.248074602497725
NOTDOM,E,134.896,1.291,10.965,11.481536214968829
PODNUB,E,199.526,0.75,7.943,4.265795188015927
SAXCON,E,128.825,0.809,5.754,4.786300923226384
ANDINE,E,NA,NA,9.55,NA
CASGRA,E,NA,NA,5.012,NA
LICARB,E,NA,NA,7.943,NA
PITSAM,E,NA,NA,10.471,NA
PSIGUA,E,NA,NA,6.31,NA
SIMGLA,E,NA,NA,8.318,NA
JACPUN,D,NA,NA,12.882,NA
AMBPSI,NA,NA,NA,18.621,NA
AMOCAN,NA,NA,NA,9.55,NA
ANDGER,NA,NA,NA,18.197,NA
ARTLUD,NA,NA,NA,12.303,NA
ASCVIR,NA,NA,NA,19.953,NA
ASCVIR,NA,NA,NA,15.849,NA
ASTOBL,NA,NA,NA,14.791,NA
CALINV,NA,NA,NA,16.218,NA
CEAHER,NA,NA,NA,14.454,NA
DICOLI,NA,NA,NA,13.804,NA
ECHANG,NA,NA,NA,18.197,NA
KUHEUP,NA,NA,NA,15.136,NA
LESCAP,NA,NA,NA,13.183,NA
PANVIR,NA,NA,NA,23.442,NA
PHYPUM,NA,NA,NA,12.303,NA
POAPRA,NA,NA,NA,9.333,NA
PSOTEN,NA,NA,NA,18.621,NA
RHUGLA,NA,NA,NA,15.136,NA
ROSARK,NA,NA,NA,9.55,NA
RUEHUM,NA,NA,NA,8.71,NA
SALPIT,NA,NA,NA,17.783,NA
SCHSCO,NA,NA,NA,18.197,NA
SOLMIS,NA,NA,NA,14.454,NA
SORNUT,NA,NA,NA,20.417,NA
SPOHET,NA,NA,NA,15.849,NA
SYMORB,NA,NA,NA,7.943,NA
VERBAL,NA,NA,NA,13.183,NA
QUEROT,E,239.883,1.371,11.22,NA
QUESUB,E,199.526,1.95,14.125,NA
QUEFAG,D,141.254,2.382,14.791,NA
QUEPYR,D,123.027,2.742,16.596,NA
CRAMON,D,120.226,1.959,12.882,NA
PYRBOU,D,134.896,2.208,14.454,NA
CELAFR,D,117.49,2.692,NA,NA
CORCAF,NA,81.283,3.548,NA,NA
EKECAP,NA,107.152,3.75,NA,NA
ERYCAF,NA,60.256,5.957,NA,NA
HYPAMO,NA,89.125,3.491,NA,NA
ISOCIL,NA,36.308,4.581,NA,NA
PODELO,NA,275.423,1.531,NA,NA
TECNAT,NA,75.858,3.707,NA,NA
VEPUND,NA,104.713,3.083,NA,NA
ZANCAP,NA,107.152,2.594,NA,NA
CALCAP,NA,45.709,4.539,NA,NA
CELAFR,D,70.795,4.688,NA,NA
CURDEN,NA,104.713,1.459,NA,NA
EKECAP,NA,141.254,1.56,NA,NA
KIGAFR,NA,60.256,4.898,NA,NA
OLECAP,NA,165.959,1.135,NA,NA
PODFAL,NA,199.526,1.233,NA,NA
PODLAT,NA,309.03,1.059,NA,NA
RAPMEL,NA,269.153,1.611,NA,NA
RHUCHI,NA,100,2.698,NA,NA
SCOMUN,NA,123.027,1.442,NA,NA
TRIELL,NA,162.181,1.387,NA,NA
VEPUND,NA,69.183,2.57,NA,NA
XYMMON,NA,79.433,2.208,NA,NA
ACAROB,NA,138.038,NA,NA,NA
ADPDIM,NA,151.356,2.317,NA,NA
ALBADI,NA,95.499,3.802,NA,NA
BALMAU,NA,125.893,3.926,NA,NA
BEQNAT,NA,141.254,2.559,NA,NA
CELAFR,D,50.119,3.673,NA,NA
CHAARI,D,109.648,3.083,NA,NA
DALARM,NA,93.325,4.764,NA,NA
DIONAT,NA,114.815,1.884,NA,NA
HYMULM,NA,112.202,2.109,NA,NA
MIMOBO,NA,97.724,2.5,NA,NA
MONCAF,NA,63.096,3.784,NA,NA
OCHNAT,NA,109.648,NA,NA,NA
PANGOL,NA,104.713,2.046,NA,NA
PSYCAP,NA,67.608,NA,NA,NA
RHOTOM,NA,58.884,3.214,NA,NA
ROTGLO,NA,64.565,3.17,NA,NA
STRDEC,NA,95.499,2.438,NA,NA
STRGER,NA,97.724,1.698,NA,NA
VEPUND,NA,104.713,3.499,NA,NA
DIOWHY,NA,125.893,1.862,NA,NA
HARSCH,NA,204.174,1.34,NA,NA
MAYACU,NA,154.882,1.596,NA,NA
MAYOLE,E,199.526,1.303,NA,NA
OLEEUR,NA,218.776,1.888,NA,NA
OLIVEN,NA,123.027,2.924,NA,NA
PODELO,NA,301.995,1.183,NA,NA
BRASTE,NA,251.189,0.863,NA,NA
BRANER,NA,141.254,NA,NA,NA
CUNCAP,NA,181.97,NA,NA,NA
FRELAN,NA,275.423,NA,NA,NA
ILEMIT,NA,158.489,2.153,NA,NA
KIGAFR,NA,100,2.495,NA,NA
RAPMEL,NA,131.826,1.862,NA,NA
RHUTOM,E,162.181,NA,NA,NA
APODIM,NA,158.489,1.923,NA,NA
CURDEN,NA,107.152,1.493,NA,NA
FAUMAC,NA,97.724,1.914,NA,NA
OCOBUL,NA,117.49,2.388,NA,NA
OLECAP,NA,147.911,1.282,NA,NA
OLIVEN,NA,81.283,2.877,NA,NA
PODFAL,NA,190.546,1.455,NA,NA
PODLAT,NA,218.776,1.211,NA,NA
RAPMEL,NA,109.648,1.581,NA,NA
TRICRI,NA,128.825,1.377,NA,NA
ACAKAR,NA,100,4.036,NA,NA
CELAFR,D,89.125,3.251,NA,NA
CHAARI,D,56.234,4.721,NA,NA
